name,website,insta,twitter,fb
Neat Nutrition,https://www.neat-nutrition.com/,neat_nutrition,neat_nutrition,neatnutrition
Bulk,https://www.bulk.com/uk/,bulk,bulkofficial,bulk
Live innermost,https://www.liveinnermost.com/,liveinnermost,liveinnermost,innermost
The Nue co,https://www.thenueco.com/,thenue_co,thenue_co,thenueco
INDI MIND,indisupplements.com,indisupplements,,indisupplements
Form Nutrition,https://formnutrition.com/,formnutrition,formnutrition,formnutrition
Puresport,https://puresport.co,puresport,puresportcbd,puresportclubs
Medterra,https://medterracbd.co.uk/,medterra.international,medterracbd,medterra.international 
QUALIA,https://neurohacker.com/cognition,neurohacker,theneurohacker,neurohackercollective
MISFITS SWITCH ON,https://wellness-factory.co.uk/products/misfits-focus-tablets,,,
MOTION POWER UP: DAY TIME NOOTROPIC,https://motionnutrition.com,motionnutrition,MotionNutrition,motionnutrition

# [2020-10-22] (Marketing) schedule note: Add visualization for Marketing

# [2020-12-23] (Influencer) schedule note: Document market insights for Influencer

# [2021-02-12] (Clustering) schedule note: Add visualization for Clustering

# [2021-04-02] (Clustering) schedule note: Document market insights for Clustering

# [2021-05-19] (Influencer) schedule note: Enhance similarity analysis for Influencer
